# file...... strom/strom_14.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# target.... triplex_meter 156
# trigger... (none)
# interval.. 1800
# limit..... 0
# timestamp,measured_real_energy,measured_power,measured_real_power,measured_demand,monthly_bill,price
2012-04-08 00:00:00 UTC,+0,+68+1.77737e-15d,+68,+68,+0,+30
2012-04-08 00:30:00 UTC,+34,+60-5.30092e-15d,+60,+68,+1.02,+0.0651396
2012-04-08 01:00:00 UTC,+64,+89+5.14607e-15d,+89,+89,+1.02195,+0.0651396
2012-04-08 01:30:00 UTC,+108.5,+100+5.34333e-15d,+100,+100,+1.02485,+0.0632799
2012-04-08 02:00:00 UTC,+158.5,+64-8.94531e-16d,+64,+100,+1.02802,+0.0632799
2012-04-08 02:30:00 UTC,+190.5,+64-1.09332e-15d,+64,+100,+1.03004,+0.0479266
2012-04-08 03:00:00 UTC,+222.5,+61-3.54554e-15d,+61,+100,+1.03158,+0.0479266
2012-04-08 03:30:00 UTC,+253,+88-2.60227e-15d,+88,+100,+1.03304,+0.0549807
2012-04-08 04:00:00 UTC,+297,+87-3.36335e-15d,+87,+100,+1.03546,+0.0549807
2012-04-08 04:30:00 UTC,+340.5,+61-2.08561e-15d,+61,+100,+1.03785,+0.0541449
2012-04-08 05:00:00 UTC,+371,+56-6.81547e-16d,+56,+100,+1.0395,+0.0541449
2012-04-08 05:30:00 UTC,+399,+70-3.99841e-15d,+70,+100,+1.04102,+0.0526922
2012-04-08 06:00:00 UTC,+434,+89-2.85893e-15d,+89,+100,+1.04286,+0.0526922
2012-04-08 06:30:00 UTC,+478.5,+71-8.95931e-17d,+71,+100,+1.0452,+0.0256759
2012-04-08 07:00:00 UTC,+514,+73+4.00837e-15d,+73,+100,+1.04612,+0.0256759
2012-04-08 07:30:00 UTC,+550.5,+44-4.9154e-15d,+44,+100,+1.04705,+0.0487565
